1900	Théorie de la Spéculation 	Louis Bachelier	First financial theory based on advanced mathematics derived from natural processes (such as Brownian motion that was also adopted by Albert Einstein for his relativity theory 5 years later). Bachelier's approach was largely ignored and preceded the so-called Black-Scholes-Merton model (1973) by over 70 years, which triggered the multibillion-dollar industry of derivative option trading and was awarded the Nobel Prize in Economics in 1997. 
1901	Radio Transmission	Guglielmo Marconi	First transatlantic radio transmission, demonstrating the possibility of wireless communication. Hopes of peace due to better communication did not materialize. Like all subsequent communication technologies, it transformed but could not prevent social conflicts.
1901	Wandervögel	Herman Hoffmann Fölkersamb	Created as a back-to-nature youth organization in Germany emphasizing freedom, self-responsibility, and the spirit of adventure. It was a reaction to the materialism, hypocrisy, and stifling social conservatism of the Wilhelminian Reich. Most Wandervögel ('birds of passage') came from well-to-do middle-class families. It's both one of the first youth movements and modern counter-cultures. 
1904	National Child Labor Committee (US)	Edgar Gardner Murphy	The foundation of this committee marks the beginning of the modern children's rights movement. According to the 1900 US Census, 1 of 6 children between 5 and 10 years old was engaged in wage labor. The immediate goal was to abolish child labor nationwide. This was achieved in 1938 when the "Fair Labor Standards Act" was signed into law in the context of the New Deal reforms.
1905	Russo-Japanese War		A twenty months long war over over rival imperial ambitions in Manchuria and Korea ends with the defeat of Russia. This was the first defeat of a European country against a non-European adversary in modern history and marked the end of the colonial expansion towards the East. It revealed the weakness of the Czarist regime and triggered the first Russian revolution.  
1905	The Special Theory of Relativity	Albert Einstein	Overturning the paradigm of Newtonian physics, which had been dominant for 200 years, relativity theory has changed basic conceptions of space and time. It established the notion of an upper speed limit equivalent to the speed of light and had numerous repercussions for atomic physics, nuclear physics, and quantum mechanics. It also had implications for the way in which we see the world reaching far beyond physics and natural sciences, establishing freedom, openness and indeterminacy as fundamental categories of human knoweldge. 
1909	First modern securitization 	Samuel W. Straus	The first time a financial instrument combined different assets (a mortgage bond with a senior tranche).  Securitization transforms illiquid asset(s) into a security. The principle behind Mortgage-Backed Securities in the 2008 subprime crisis: mortgages are combined into one large pool that's divided into smaller pieces based on each mortgage's risk of default and then sold to investors. The aim is to enable smaller investors to purchase shares in a larger asset pool, but risks are hard to monitor due to its complexity.  
1910	The Mundaneum	Paul Otlet and Henri La Fontaine	An institution based in Brussels to house all the knowledge of the world on 3x5" index cards. It flourished in the interwar period but declined after the German invasion of Belgium. Today, it is seens as an analog predecessor to the Internet. In 2012 Google announced a cooperation with the institution, today based in Mons, Belgium. 
1911	Taylorism	Frederick W. Taylor	In Principles of Scientific Management Taylor set out a method for rationalizing factory production by adapting the movement of the workers to the rhythms of the machine. Laid the groundwork for the assembly line production. Among his greatest admirers were Henry Ford and Vladimir Ilyich Lenin.
1913	The Assembly Line at Highland Park	Henry Ford	The assembly line production system at Ford Motor Company combined a number of earlier innovations in the American System of Manufacture to create a seamless production process along an assembly line. It significantly reduced cost per unit but also heightened the class antagonism and resulted in an unsustainably high turnover rate of workers. 
